"","sourcedb","SiteName","LabCode","C14Age","C14SD","db_period","db_culture","Period","lon","lat","colors","median","tpq","taq"
"3351","radon","Chabařovice","Bln-438",6400,120,"älteste LBK, entwickelte Phase","Linienbandkeramik","EN",13.941841885086,50.673181307702,NA,-5359.14969683297,-4843,-5720
"3352","calpal","Aşağı Pınar","Bln-4607",6107,51,"Neolithic",NA,"UN",27.2167,41.683,NA,-5031.51557437912,-4787,-5302
"3353","calpal","Aşağı Pınar","Bln-4608",6305,44,"Neolithic",NA,"UN",27.2167,41.683,NA,-5267.70813562604,-5040,-5472
"3354","calpal","Hoca Cesme","Bln-4609",7637,43,"Neolithic",NA,"UN",26.09,40.7,NA,-6473.544393314,-6267,-6645
"3355","calpal","Aşağı Pınar","Bln-4702",6054,41,"Neolithic",NA,"UN",27.2167,41.683,NA,-4953.58757503294,-4727,-5211
"3356","calpal","Aşağı Pınar","Bln-4703",6342,43,"Neolithic",NA,"UN",27.2167,41.683,NA,-5313.84763224185,-5063,-5476
"3357","calpal","Ifri Oudadane","Bln-4755",9677,60,"Neolithic",NA,"UN",-3.2542,35.2151,NA,-9127.92705059871,-8744,-9315
"3358","calpal","Hassi Ouenzga","Bln-4756",10570,177,"Epipalaeolithic",NA,"UM",-3.2455,34.7773,NA,-10510.3915654865,-9405,-11145
"3359","calpal","Ószentiván VIII","Bln-477",6270,80,"Neolithic","Vinča","EN",20.1833,46.2,NA,-5230.90983881594,-4843,-5511
"3360","calpal","Ószentiván VIII","Bln-478",6070,100,"Neolithic","Vinča","EN",20.1833,46.2,NA,-4984.40354385165,-4543,-5460
"3361","calpal","Ószentiván VIII","Bln-479",6460,80,"Neolithic","Vinča","EN",20.1833,46.2,NA,-5415.35120602448,-5061,-5658
"3362","radon","Oszentiván","Bln-480",6050,100,"Früh","Vinča culture","EN",20.164409449074,46.17476656233,NA,-4958.98886997114,-4537,-5369
"3363","calpal","Aşağı Pınar","Bln-4852",6260,40,"Neolithic",NA,"UN",27.2167,41.683,NA,-5247.69436406103,-4999,-5461
"3364","calpal","Aşağı Pınar","Bln-4853",6189,34,"Neolithic",NA,"UN",27.2167,41.683,NA,-5127.01892106076,-4944,-5309
"3365","calpal","Aşağı Pınar","Bln-4854",6282,45,"Neolithic",NA,"UN",27.2167,41.683,NA,-5257.26641265411,-5001,-5471
"3366","calpal","Aşağı Pınar","Bln-4855",6324,46,"Neolithic",NA,"UN",27.2167,41.683,NA,-5292.32430799611,-5047,-5475
"3367","calpal","Aşağı Pınar","Bln-4856",6341,34,"Neolithic",NA,"UN",27.2167,41.683,NA,-5311.98434786435,-5127,-5473
"3368","calpal","Aşağı Pınar","Bln-4857",6364,47,"Neolithic",NA,"UN",27.2167,41.683,NA,-5338.36044762501,-5068,-5479
"3369","calpal","Aşağı Pınar","Bln-4858",6374,48,"Neolithic",NA,"UN",27.2167,41.683,NA,-5348.26360309798,-5074,-5515
"3370","calpal","Aşağı Pınar","Bln-4859",6267,48,"Neolithic",NA,"UN",27.2167,41.683,NA,-5246.4669774205,-4993,-5470
"3371","calpal","Aşağı Pınar","Bln-4860",6209,42,"Neolithic",NA,"UN",27.2167,41.683,NA,-5141.32792318028,-4941,-5355
"3372","calpal","Hassi Ouenzga","Bln-4913",6683,48,"Neolithic",NA,"UN",-3.2455,34.7773,NA,-5592.8975921327,-5474,-5738
"3373","calpal","Hassi Ouenzga","Bln-4956",6035,47,"Neolithic",NA,"UN",-3.2455,34.7773,NA,-4928.8732231413,-4715,-5211
"3374","calpal","Hassi Ouenzga","Bln-4957",6611,40,"Neolithic",NA,"UN",-3.2455,34.7773,NA,-5548.71380404703,-5383,-5665
"3375","calpal","Es-Sifiya","Bln-4968",7979,45,"Neolithic","PPNB","EN",35.8222,31.4392,NA,-6895.88667996371,-6643,-7132
"3376","calpal","Es-Sifiya","Bln-4969",8024,44,"Neolithic","PPNB","EN",35.8222,31.4392,NA,-6929.49407854031,-6650,-7240
"3377","calpal","Es-Sifiya","Bln-4970",7921,48,"Neolithic","PPNB","EN",35.8222,31.4392,NA,-6809.67385468318,-6591,-7062
"3378","calpal","Es-Sifiya","Bln-4971",8001,44,"Neolithic","PPNB","EN",35.8222,31.4392,NA,-6915.36801264869,-6647,-7170
"3379","calpal","Es-Sifiya","Bln-4972",7990,48,"Neolithic","PPNB","EN",35.8222,31.4392,NA,-6903.69719971153,-6643,-7170
"3380","calpal","Es-Sifiya","Bln-4973",8040,44,"Neolithic","PPNB","EN",35.8222,31.4392,NA,-6948.24893732633,-6653,-7314
"3381","calpal","Aşağı Pınar","Bln-4988",6322,34,"Neolithic",NA,"UN",27.2167,41.683,NA,-5279.44945101179,-5067,-5471
"3382","calpal","Aşağı Pınar","Bln-4992",6625,38,"Neolithic",NA,"UN",27.2167,41.683,NA,-5558.80700358882,-5418,-5707
"3383","calpal","Aşağı Pınar","Bln-4996",6909,48,"Neolithic",NA,"UN",27.2167,41.683,NA,-5788.54661690713,-5627,-5987
"3384","calpal","Aşağı Pınar","Bln-4997",6781,39,"Neolithic",NA,"UN",27.2167,41.683,NA,-5678.27377320989,-5556,-5835
"3385","calpal","Aşağı Pınar","Bln-4998",6280,42,"Neolithic",NA,"UN",27.2167,41.683,NA,-5257.47548359573,-5004,-5469
"3386","calpal","Aşağı Pınar","Bln-4999",6212,37,"Neolithic",NA,"UN",27.2167,41.683,NA,-5142.27438997231,-4951,-5322
"3387","calpal","Ba´ja","Bln-5035",7887,43,"Neolithic","PPNB","EN",35.46,30.41,NA,-6748.8921618997,-6509,-7048
"3388","calpal","Ba´ja","Bln-5036",7910,44,"Neolithic","PPNB","EN",35.46,30.41,NA,-6788.66939139125,-6591,-7056
"3389","calpal","Taghit Haddouch","Bln-5039",6588,62,"Neolithic",NA,"UN",-3.2553,35.2144,NA,-5535.96593947962,-5315,-5722
"3390","calpal","Taghit Haddouch","Bln-5040",7977,56,"Epipalaeolithic",NA,"UM",-3.2553,35.2144,NA,-6886.63634748844,-6598,-7173
"3391","calpal","Taghit Haddouch","Bln-5041",8019,46,"Epipalaeolithic",NA,"UM",-3.2553,35.2144,NA,-6925.35491412094,-6648,-7240
"3392","calpal","Taghit Haddouch","Bln-5042",8302,37,"Epipalaeolithic",NA,"UM",-3.2553,35.2144,NA,-7369.31992198538,-7077,-7532
"3393","calpal","Taghit Haddouch","Bln-5043",8302,54,"Epipalaeolithic",NA,"UM",-3.2553,35.2144,NA,-7359.27879013135,-7062,-7579
"3394","calpal","Taghit Haddouch","Bln-5044",8726,53,"Epipalaeolithic",NA,"UM",-3.2553,35.2144,NA,-7740.3997533716,-7582,-8208
"3395","radon","Tiszavasvári-Keresztfal","Bln-505",6305,100,"Alföld-LBK","Linienbandkeramik","EN",21.383333,47.966667,NA,-5262.41582546807,-4799,-5617
"3396","radon","Tarnazsadány-Sándorrésze","Bln-506",6120,100,"jüngere LBK","Linienbandkeramik","EN",20.15,47.65,NA,-5048.66258608086,-4610,-5471
"3397","radon","Eitzum 2","Bln-51",6310,200,"älteste LBK","Linienbandkeramik","EN",10.818400382996,52.138492827727,NA,-5237.9261359355,-4457,-5876
"3398","calpal","Drama-Gerena","Bln-5112",6257,40,"Neolithic",NA,"UN",26.4355,42.2396,NA,-5244.15236715775,-4998,-5460
"3399","calpal","Ba'ja","Bln-5123",8100,33,"Neolithic","PPNB","EN",35.4624,30.4153,NA,-7076.16744619698,-6780,-7328
"3400","calpal","Eitzum","Bln-51?",6530,100,"Neolithic","LBK","EN",10.8161,52.1558,NA,-5482.54072883885,-5063,-5743
"3401","calpal","Aşağı Pınar","Bln-5218",6765,29,"Neolithic",NA,"UN",27.2167,41.683,NA,-5667.25474838656,-5560,-5757
"3402","calpal","Aşağı Pınar","Bln-5219",6752,34,"Neolithic",NA,"UN",27.2167,41.683,NA,-5659.1409485679,-5531,-5761
"3403","radon","Ezero, Tell Dipsis","Bln-530",6270,80,"III","Karanovo culture","EN",26.027798244199,42.474542630618,NA,-5230.90983881594,-4843,-5511
"3404","radon","Ostoros","Bln-549",6180,100,"Alföld-LBK. jüngere","Linienbandkeramik","EN",20.433333,47.866667,NA,-5116.26994334627,-4707,-5477
