Code_Region;Region / Country;Department / District;Municipality;Site;Cultural_complex;Cultural_aspect;Event_id.;Method_1;Lab_count_id.;14C_age_BP;STD;Curve;Method_2;Material;Generic_Specific_id.;Anatomical_id.;Identified_by;Reference(s);Comment_1;STD_accuracy;Accuracy_score;Material_reliability;Reliability_score;Quality_score;Comment_2;HPD_IntCal20;ChronoModel_id.;BMAP_EMAP;MACT-1;MACT-2;MACT-3
CWM_A091;Trentino-Alto Adige (IT);Trento;Trento;Romagnano 3 (riparo);LIN_GBN;Gaban;A091_RM3#Layer-T4#B;14C;R-781a;6060;50;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1978;_;GOOD;3;OWE;2;6;_;"[ -5204 ; -4799 ]";A091_RM3;"[-5420 ; -4661]";5410;4970;4670
CWM_B016;Puglia (IT);Foggia;Foggia;Passo di Corvo;BFW_PDC;Passo di Corvo;B016_PDC;14C;R-846;6140;120;intcal20.14c;GPC;Charred seed(s);na;na;na;Alessio et al. 1976;_;LOWEST;1;SLS;3;3;_;"[ -5331 ; -4785 ]";na;na;;;
CWM_A082;Veneto (IT);Vicenza;Arcugnano;Covoloni del Broion (grottina dei);CST;Castelnovian;A082_CDB#US-6;14C;R-892;6930;60;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1978;_;GOOD;3;OWE;2;6;_;"[ -5978 ; -5713 ]";na;na;;;
CWM_A071;Friuli-Venezia Giulia (IT);Trieste;Duino-Aurisina;Mitreo (grotta del);DKV_VLS;Danilo / Vlaška;A071_MTR#Layer-8#A;14C;R-904;5770;60;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1978;_;GOOD;3;OWE;2;6;_;"[ -4779 ; -4458 ]";na;na;;;
CWM_A071;Friuli-Venezia Giulia (IT);Trieste;Duino-Aurisina;Mitreo (grotta del);DKV_VLS;Danilo / Vlaška;A071_MTR#Layer-8#B;14C;R-904a;5770;50;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1978;_;GOOD;3;OWE;2;6;_;"[ -4723 ; -4461 ]";na;na;;;
CWM_B112;Piemonte (IT);Cuneo;Aisone;Aisone;SMP;SMP1 ;B112_AIS#na;14C;R-95;5825;75;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1965;_;LOW;2;OWE;2;4;_;"[ -4844 ; -4493 ]";na;na;;;
CWM_B053;Abruzzo (IT);Pescara;Catignano;Catignano Ponte Rosso;BFW_CSB;Catignano;B053_CTG#TR-A_ST-3;14C;R-996a;6330;70;intcal20.14c;LSC;Charcoal;na;na;na;Colombo 2007;_;GOOD;3;OWE;2;6;_;"[ -5472 ; -5077 ]";na;na;;;
CWM_B053;Abruzzo (IT);Pescara;Catignano;Catignano Ponte Rosso;BFW_CSB;Catignano;B053_CTG#TR-A#ST-1;14C;R-997;6120;70;intcal20.14c;LSC;Charcoal;na;na;na;Colombo 2007;_;GOOD;3;OWE;2;6;_;"[ -5215 ; -4845 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;CRD / LIN_SSV;C032_MRM#na#C;14C;RM-1825;6720;60;intcal20.14c;na;Waterlogged wood;na;na;na;Fugazzola Delpino 2020;_;GOOD;3;OWE;2;6;_;"[ -5726 ; -5528 ]";na;na;;;
CWM_B053;Abruzzo (IT);Pescara;Catignano;Catignano Ponte Rosso;BFW_CSB;Catignano;B053_CTG#TR-A_ST-7A_Spit-3#A;14C;R-1146;6410;70;intcal20.14c;LSC;Charcoal;na;na;na;Colombo 2007;_;GOOD;3;OWE;2;6;_;"[ -5479 ; -5217 ]";na;na;;;
CWM_B053;Abruzzo (IT);Pescara;Catignano;Catignano Ponte Rosso;BFW_CSB;Catignano;B053_CTG#TR-A_ST-7A_Spit-3#B;14C;R-1147;6480;70;intcal20.14c;LSC;Charcoal;na;na;na;Colombo 2007;_;GOOD;3;OWE;2;6;_;"[ -5608 ; -5313 ]";na;na;;;
CWM_B053;Abruzzo (IT);Pescara;Catignano;Catignano Ponte Rosso;BFW_CSB;Catignano;B053_CTG#TR-A_ST-56_Spit-1;14C;R-1148;6585;70;intcal20.14c;LSC;Charcoal;na;na;na;Colombo 2007;_;GOOD;3;OWE;2;6;_;"[ -5632 ; -5381 ]";na;na;;;
CWM_B013;Puglia (IT);Brindisi;Oria;Sant'Anna;_;Diana;B013_SAN#TR-3_Hearth-IL8_Spit-1;14C;R-321;5550;80;intcal20.14c;LSC;Charcoal;na;na;na;Calderoni et al. 1994;_;LOW;2;OWE;2;4;_;"[ -4549 ; -4241 ]";na;na;;;
CWM_B013;Puglia (IT);Brindisi;Oria;Sant'Anna;BFW;Graffita / Dipinta;B013_SAN#TR-2-3_Spit-3#B;14C;R-322;6780;90;intcal20.14c;LSC;Charcoal;na;na;na;Calderoni et al. 1994;_;LOW;2;na;1;2;_;"[ -5876 ; -5525 ]";na;na;;;
CWM_B093;Emilia (IT);Reggio Nell'Emilia;Ventasso;Lama Lite 2;CST;Castelnovian ;B093_LL2#US-4b;14C;R-394;6620;80;intcal20.14c;LSC;Charcoal;na;na;L. Castelletti;Castelletti et al. 1994;_;LOW;2;OWE;2;4;_;"[ -5707 ; -5386 ]";na;na;;;
CWM_C065;Toscana (IT);Lucca;Coreglia Antelminelli;Piazzana;EME;Sauveterrian;C065_PZZ#Spit-3D#;14C;R-395;8080;90;intcal20.14c;LSC;Charcoal;na;na;na;Tozzi 1995;_;LOW;2;OWE;2;4;_;"[ -7323 ; -6696 ]";na;na;;;
CWM_C065;Toscana (IT);Lucca;Coreglia Antelminelli;Piazzana;EME;Sauveterrian;C065_PZZ#Spit-3E#;14C;R-396;8450;90;intcal20.14c;LSC;Charcoal;na;na;na;Tozzi 1995;_;LOW;2;OWE;2;4;_;"[ -7602 ; -7192 ]";na;na;;;
CWM_C065;Toscana (IT);Lucca;Coreglia Antelminelli;Piazzana;EME;Sauveterrian;C065_PZZ#Spit-3F#;14C;R-397;8890;90;intcal20.14c;LSC;Charcoal;na;na;na;Tozzi 1995;_;LOW;2;OWE;2;4;_;"[ -8275 ; -7741 ]";na;na;;;
