ID;SiteName;LFSite;SiteType;Country;Period;PhaseCode;LabCode;C14Age;C14SD;Material;MaterialSpecies;AnatomicalParts;Reliability;tpq;taq;Longitude;Latitude;bib;bib_url;;
53;Grapceva Cave;Grapčeva (spilja);GR;Croatia;MN;US 1390;Beta-103487;6000;80;wood charcoal;n/d;n/a;;-5207;-4707;16,753065;43,133991;Forenbaher et al. 2010;https://doi.org/10.1179/009346910X12707321358955;;
51;Grapceva Cave;Grapčeva (spilja);GR;Croatia;EN;US 1400;Beta-103488;7030;60;wood charcoal;n/d;n/a;;-6019;-5760;16,753065;43,133991;Forenbaher et al. 2010;https://doi.org/10.1179/009346910X12707321358955;;
937;Petites Baties;Petites-Bâties (les);OP;France;EN;St 7192;Beta-103862;6290;50;wood charcoal;n/d;n/a;;-5371;-5072;4,702349;44,298495;Binder et al. 2002;Binder02;;
941;Petites Baties;Petites-Bâties (les);OP;France;EN;sect. 4;Beta-103864;5870;40;wood charcoal;Quercus sp. and others;n/a;;-4840;-4615;4,702349;44,298495;Binder et al. 2002;Binder02;;
940;Petites Baties;Petites-Bâties (les);OP;France;EN;St 3826;Beta-103867;6230;50;wood charcoal;n/d;n/a;;-5311;-5045;4,702349;44,298495;Binder et al. 2002;Binder02;;
938;Petites Baties;Petites-Bâties (les);OP;France;EN;St 13837;Beta-103868;6270;50;wood charcoal;n/d;n/a;;-5359;-5063;4,702349;44,298495;Binder et al. 2002;Binder02;;
939;Petites Baties;Petites-Bâties (les);OP;France;EN;sect. 4;Beta-103870;6270;50;wood charcoal;Corylus sp.;n/a;;-5359;-5063;4,702349;44,298495;Binder et al. 2002;Binder02;;
936;Petites Baties;Petites-Bâties (les);OP;France;EN;sect. 4;Beta-103872;7240;50;wood charcoal;Quercus sp.;n/a;;-6225;-6018;4,702349;44,298495;Binder et al. 2002;Binder02;;
59;Grapceva Cave;Grapčeva (spilja);OP;Croatia;LN;US 1262;Beta-106625;5210;40;wood charcoal;n/d;n/a;;-4226;-3952;16,753065;43,133991;Forenbaher et al. 2010;https://doi.org/10.1179/009346910X12707321358955;;
2825;Cova de les Cendres;;GR;Spain;EN;EVIIa;Beta-107405;6280;80;animal bone;Ovis sp.;n/a;;-5471;-5031;0,152631;38,685691;Bernabeu & Molina 2011;Bernabeu11;;
1877;Grotta delle Arene Candide;Arene Candide (caverna delle);GR;Italy;EN;n/a;Beta-109619;6370;50;wood charcoal;Ramnus sp.;n/a;;-5474;-5218;8,32828;44,162304;Binder et al. 2017;https://doi.org/10.4312/dp.44.4;;
1901;Grotta delle Arene Candide;Arene Candide (caverna delle);GR;Italy;EN;VBQ1;Beta-109620;5910;50;wood charcoal;n/d;n/a;;-4936;-4681;8,32828;44,162304;Binder & Maggi 2001;Binder01;;
2304;Riparo di Pian del Ciliegio;Pian del Ciliegio (riparo di);RK;Italy;MN;US 165c;Beta-10979;6000;60;wood charcoal;n/d;branch;;-5038;-4726;8,374722;44,202222;Zemour et al. 2017;https://doi.org/10.1080/00934690.2017.1317121;;
1910;Grotta delle Arene Candide;Arene Candide (caverna delle);GR;Italy;MN;T3 (excavation Tine);Beta-109801;5790;60;human bone;Homo sapiens;n/a;;-4787;-4498;8,32828;44,162304;Sparacello et al. 2020;https://doi.org/10.1016/j.quaint.2019.11.034;;
