"Country"	"SiteName"	"Period"	"PhaseCode"	"Longitude"	"Latitude"	"tpq"	"taq"	"LabCode"	"C14Age"	"C14SD"	"Material"	"mat.life"	"bib"	"bib_url"
"Italy"	"Grotta delle Arene Candide"	"EN"	"Phase AC2, US330 (anatomical connection) "	8.32828	44.162304	-5570	-5977	"LTL-15947A"	6861	45	"fauna"	"short life"	"Binder et al. 2017"	"https://doi.org/10.4312/dp.44.4"
"Swiss"	"Chemin des Collines"	"MN"	"z.W Layer 8-6"	7.35382173	46.23250875	-3658	-4654	"ARC-403"	5360	120	"bone (human)"	"short life"	"Hafner 2012"	"Hafner12"
"France"	"Camp de Chassey"	"MN"	"Layer 7"	4.7	46.8834	-3523	-4437	"Ly-3471"	5150	120	"fauna"	"short life"	"Th̩venot 2005"	"Thevenot05"
"France"	"Abri de la Roche de Bavans"	"LM"	"Layer 5"	6.70873086	47.47318267	-5046	-5731	"Lv-1588"	6500	100	"fauna"	"short life"	"Perrin & Manen 2021"	"https://doi.org/10.1371/journal.pone.0246964"
"France"	"Ravin de Mouresse Boline"	"UM"	"n/a"	6.23	43.89	-6274	-7048	"Gif-8930"	7760	80	"wood charcoal"	"long life"	"Shennan & Steele 2000"	"Shennan00"
"Italy"	"Marcianese"	"EN"	"Upper levels of main hut"	14.382237	42.208409	-4793	-5519	"BM-2251"	6250	90	"wood charcoal"	"long life"	"Ambers et al. 1987"	"https://doi.org/10.1017/S0033822200043575"
"Italy"	"Plan de Frea II"	"LM"	"From profile, anthropic layer"	11.7944	46.542386	-5309	-6473	"R-1497"	7000	200	"n/a"	"others"	"Alessio et al. 1994"	"Alessio94"
"Italy"	"Nave Molino"	"MN"	"n/a"	10.2795	45.5876	-5009	-5662	"GX-24945"	6440	90	"wood charcoal"	"long life"	"Facchinetti 2012"	"Facchinetti12"
"Italy"	"Fagnigola"	"EN"	"Str. 19 T. 1"	12.687636	45.844969	-4789	-5207	"CNA-5152.1.1"	6055	31	"cereal"	"short life"	"Unpublished"	"Unpublished"
"Italy"	"Casalmoro"	"EN"	"Structure 1"	10.4	45.25	-4370	-4939	"Bln-2975"	5810	60	"wood charcoal"	"long life"	"Bagolini & Biagi 1990"	"https://doi.org/10.1111/j.1468-0092.1990.tb00211.x"
"Italy"	"La Marmotta"	"EN"	"P108"	12.266246	42.102281	-5374	-5704	"R-2353"	6600	45	"wood charcoal"	"long life"	"Mazzucco et al. 2020"	"https://doi.org/10.1371/journal.pone.0232455.s002"
