period	culture	class
	Tripolje	
Neolithic	Ukraine_Neolithic	
	Capsian	
Mésolithique 1	Capsien ancien	mm
Epipalaeolithic	Capsien superieur	lm
	Neol mittlerer Abschnitt	
	Mittel- Neol	
	Neol spät	
	?	
Palaeolithic	Iberomaurusian	
Epipalaeolithic	Iberomarousian	
Epipalaeolithic	Iberomaurusian	
Mésolithique 2	Capsien supérieur	lm
	Iberomaurusian	
	Iberomaurusian, Epipalaeolithic with pottery, Keremian	
Epipalaeolithic	Capsien typique	mm
Mésolithique 1	Capsien typique	mm
	Early Neolithic, Neolithic of Capsian Tradition Western Sahara, Pre Neolithic	
	Libyco-Capsian	mm
Mésolithique 1	Lybico-capsien	mm
	Neolithic of Capsian Tradition	
	Neolithic of Capsian Tradition, Neolithic of Capsian Tradition Atlas variety	
	Neolithic without pottery, Neolithic of Capsian Tradition Atlas variety	
	Neolithic, Final Upper Capsian	
	Proto Neolithic, Neolithic of Capsian Tradition Atlas variety	
	Typical Capsian	mm
	Columnatian, Epipalaeolithic	
	Columnatian	
	Typical Capsian, Upper Capsian	
	Epipalaeolithic, Elassolithic	
	Typical Capsian?	
	Typical/Upper Capsian transition	
	Undetermined Typical/Upper Capsian	
	Early Neolithic, Epipalaeolithic with pottery	
	Early Neolithic, Mediterranean Neolithic	
	Early Neolithic, Epipalaeolithic with pottery, Mediterranean Neolithic	
	Terminal Palaeolithic J	
	Qarunian	
	Moerian	
	Fayoumian	
	Neolithic PN	
	Middle Neolithic	
	Middle Neolithic?	
	Late Neolithic	
	Early Neolithic	
	Predynastic	
Epipalaeolithic	Upper Capsian	lm
	Eastern Oranian	
	Early Neolithic B2	
	Early Neolithic A	
	Mediterranean Epipalaeolithic	
	Early Neolithic B1	
	Early Neolithic, Mediterranean Epipalaeolithic	
	Mediterranean Epipalaeolithic, Early Neolithic	
	Mediterranean Epipalaeolithic, Iberomaurusian	
	Epipalaeolithic with pottery, Early Neolithic	
	Early Neolithic, Epipalaeolithic, Neolithic	
	Epipalaeolithic with pottery	
	Epipalaeolithic, Keremian	
	Cardial Neolithic, Early Neolithic	en
	Early Neolithic?	
	Early Neolithic B	
	Late Epipalaeolithic	
	Early Epipalaeolithic	
	Neolithic initial phase	
	Iberomaurusian, Early Rharbian	
	Early Rharbian	
	Pre Neolithic	
	Upper Capsian	lm
	Upper Capsian, Elassolithic	
	Southern Tunisian bladelet industry	
	Upper Capsian, Epipalaeolithic with pottery	
MiddleNeolithic		mn
EarlyNeolithic	cardial	en
EarlyNeolithic	Inc-Imp	en
EarlyNeolithic		en
EarlyNeolithic	cardial;impressa	en
LateNeolithic	Campaniforme	
EN		en
LN		ln
MM		
EM		em
UM ou EM ?		
Mésolithique 2	Cuzoul-Gazel	lm
Mésolithique 2	Méso récent jurassien	lm
Mésolithique 2		lm
Mésolithique 2	MR_NA	lm
Mésolithique 1	Sauveterrien	
Mésolithique 2	Castelnovien	lm
Mésolithique 1		
Mésolithique 1	Sauveterriano	
